ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
706,,,Cotton Candy FLUFFYZ/50G/24 STK.,1,,visible,,Innpris er inkludert frakt fra Sverige.,,,,,1,82,0,0,,,,,0,,,336,Sukkerspinn tilbehør mat,,,,,,,,,,,,,,,,,,,,,,,,,
515,,,COTTON CANDY FRUITY MIX/50G/36STK,1,,visible,,Aug-23,,,,,1,8,0,0,2.8,,,,0,,,504,Sukkerspinn tilbehør mat,,,,,,,,,,,,,,,,,,,,,,,,,
516,,,COTTON CANDY ORIGNIAL/50G/36STK,1,,visible,,Aug-23,,,,,1,-7,0,0,2.8,,,,0,,,504,Sukkerspinn tilbehør mat,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,COTTON CANDY TRAY #3062,1,,visible,,11/12,,,,,1,,0,0,0.5,,,,0,,,375,Sukkerspinn tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
585,,,Deluxe Popcornpakke,1,,visible,,,,,,,1,,0,0,,,,,0,,,13500,Diverse,,,,,,,,,,,,,,,,,,,,,,,,,
565,,,DISKDISPLAY TIL HJERTEVAFFEL / RUSFRITT STÅL / 11 HULL,1,,visible,,,,,,,1,4,0,0,0.8,,,,0,,,819,Vafler maskiner og utstyr,,,,,,,,,,,,,,,,,,,,,,,,,
564,,,DISKDISPLAY TIL PINNEVAFFEL / RUSFRITT STÅL / 8 HULL,1,,visible,,,,,,,1,3,0,0,1,,,,0,,,819,Vafler maskiner og utstyr,,,,,,,,,,,,,,,,,,,,,,,,,
561,,,DISPENSER TIL STRØSSEL / 4 BOKSER,1,,visible,,,,,,,1,4,0,0,1,,,,0,,,524,Vafler maskiner og utstyr,,,,,,,,,,,,,,,,,,,,,,,,,
495,,,DISPENSERSTATIV GULV M/DISPENSER OG 12L HÅNDSPRIT,1,,visible,,,,,,,1,,0,0,,,,,0,,,4500,Diverse,,,,,,,,,,,,,,,,,,,,,,,,,
497,,,DISPENSERSTATIV HÅNDSPRIT TIL DISK/BORD,1,,visible,,,,,,,1,,0,0,,,,,0,,,1600,Diverse,,,,,,,,,,,,,,,,,,,,,,,,,
496,,,DISPENSERSTATIV HÅNDSPRIT VEGG,1,,visible,,,,,,,1,,0,0,,,,,0,,,1200,Diverse,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,DISPLAY - KJÆRLIGHETER,1,,visible,,,,,,,1,16,0,0,,,,,0,,,120,Diverse,,,,,,,,,,,,,,,,,,,,,,,,,
476,,,DIVERSE MATVARE,1,,visible,,,,,,,1,,0,0,,,,,0,,,,Drikkevarer,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,DIVERSE PRODUKT,1,,visible,,,,,,,1,,0,0,,,,,0,,,,Diverse,,,,,,,,,,,,,,,,,,,,,,,,,
632,,,Domelokk til slushbeger / 78mm / 2500 stk.,1,,hidden,,,,,,,1,7,0,0,,,,,0,,,1700,Slush tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,DOMELOKK/1000STK/TIL 1.4L BEGER,1,,visible,,,,,,,1,2,0,0,5,,,,0,,,515,Popcorn tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
637,,,Drev til rørepinne 4-16oz. /#47059K,1,,visible,,"Drev til kjele/rørepinnen. 
Pakke på 2 drev - men selges enkeltvis.",,,,,1,29,0,0,,,,,0,,,255,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,DROP PANEL #61125,1,,visible,,oppdatert 9/22,,,,,1,,0,0,,,,,0,,,435,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
535,,,DRYPPESKÅL TIL CAB SLUSHMASKIN/SORT/ #GV2MODN,1,,visible,,,,,,,1,8,0,0,,,,,0,,,278,Deler Slushmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,DUO BEGER 250 STK.,1,,visible,,,,,,,1,142,0,0,12,,,,0,,,1091,Popcorn tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,DØRER TIL POPCORNMASKIN  PR.STK,1,,visible,,,,,,,1,10,0,0,,,,,0,,,280,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
338,,,ECO POPCORNPOSER /1000 STK/ 0.7L/32 OZ,1,,visible,,11/12,,,,,1,,0,0,,,,,0,,,1390,Popcorn tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
334,,,ECO POPCORNPOSER /1000 STK/ 1.4L/46 OZ,1,,visible,,11/12,,,,,1,1,0,0,8,,,,0,,,1550,Popcorn tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,ECO POPCORNPOSER /500 STK/ 2.5L/85 OZ,1,,visible,,11/12,,,,,1,18,0,0,8,,,,0,,,995,Popcorn tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
337,,,ECO POPCORNPOSER /500 STK/ 4.0L/130 OZ,1,,visible,,11/12,,,,,1,30,0,0,8,,,,0,,,1350,Popcorn tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,ECONO FLOSS #3017‐01‐000,1,,visible,,11/12,,,,,1,,0,0,14.5,,,,0,,,14500,Sukkerspinnmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,ECONO-POP 14OZ #2121EX,1,,visible,,11/22,,,,,1,,0,0,42,,,,0,,,18000,Popcornmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
358,,,EMBALLASJE/PALL,1,,visible,,,,,,,1,,0,0,,,,,0,,,60,Diverse,,,,,,,,,,,,,,,,,,,,,,,,,
